prov_ubi;cant_ubi;parr_ubi;area_ubi;clase;tipo;entidad;sector;dotmedic;dismedic;dotcirug;discirug;dotginob;disginob;dotped;disped;dotneon;disneon;dotcardi;discardi;dotneumo;disneumo;dotpsiqu;dispsiqu;dottraum;distraum;dotinfec;disinfec;dotofta;disofta;dotootorri;disootorri;doturolo;disurolo;dotgast;disgast;dotquem;disquem;dotneuro;disneuro;dotnefro;disnefro;dotonco;disonco;dothema;dishema;dototrse;disotrse;dotserin;disserin;camas_dnor;camas_disp;dotemerg;dotcinteadult;dotcintepediatri;dotcinteneonat;dotcintrm;dotcrecup;dototrapo;dia_estad;dias_cdis;totegres;falmen48;falmas48
09;0901;090112;1;2;1;3;1;11;11;8;8;6;6;6;6;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;37;37;5;5;0;0;0;0;0;4631;14446;1100;6;11
01;0101;010107;1;2;1;3;1;10;13;10;8;3;2;5;5;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;34;5;0;0;0;0;3;0;880;12410;379;1;2
11;1101;110103;1;2;1;1;1;55;55;50;50;51;51;44;44;30;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;12;0;0;0;0;0;0;0;0;0;0;0;0;242;241;27;10;0;0;0;0;0;55033;91605;10814;51;220
15;1501;150150;1;2;1;1;1;26;21;12;12;27;27;24;23;19;10;0;0;0;0;0;0;12;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;105;22;12;0;0;3;6;0;24876;37957;7414;15;37
24;2401;240102;1;2;1;1;1;26;26;23;23;22;22;15;15;10;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;96;9;7;0;0;6;5;12;30400;34848;8338;32;106
07;0701;070102;1;2;1;6;1;60;37;30;21;30;30;30;30;35;19;5;3;6;4;0;0;8;5;2;1;0;0;3;2;3;2;6;4;0;0;7;4;11;6;0;0;0;0;5;3;0;0;241;171;22;14;0;0;0;7;3;44649;61801;7432;23;162
11;1101;110104;1;2;1;6;1;10;10;19;21;16;16;13;13;10;10;5;4;4;5;3;2;15;14;0;0;2;2;2;2;5;5;5;6;0;0;2;3;5;4;3;2;1;2;9;8;0;0;129;129;13;8;0;3;3;12;2;31483;47085;7282;41;162
12;1201;120102;1;2;1;1;1;32;32;24;24;30;30;20;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;106;106;17;0;0;0;3;5;25;25325;38690;6478;10;61
09;0901;090112;1;2;1;1;1;55;54;0;0;0;0;41;47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;96;101;0;0;0;0;0;0;0;18843;37134;4160;44;98
20;2001;200150;1;2;1;1;1;8;8;5;5;6;6;4;4;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;30;6;0;0;0;4;0;0;2927;10910;748;4;2
